feature,hold,train_ic,test_ic,sym_consist,sharpe,mean_ls_bps,win_rate,pos_years,total_years,n_trades,max_dd
z_znorm_1d,1,0.966,0.95646,100.0,32.87,613.07,100.0,7,7,1570,962514.7
z_znorm_3d,1,0.5182,0.51834,100.0,20.81,364.85,99.7,7,7,1568,572077.2
z_znorm_5d,5,0.95707,0.94993,100.0,17.05,1403.69,100.0,7,7,314,440759.6
z_znorm_5d,1,0.39641,0.38276,100.0,16.29,281.15,98.2,7,7,1566,440281.8
z_znorm_3d,3,0.96061,0.9527,100.0,16.01,1116.02,100.0,7,7,523,583676.0
z_znorm_3d,5,0.72684,0.7177,100.0,14.22,1091.36,100.0,7,7,314,342688.5
z_znorm_5d,3,0.71347,0.70657,100.0,12.93,865.49,99.8,7,7,522,451784.2
z_znorm_1d,3,0.52713,0.52638,100.0,9.75,631.91,99.2,7,7,523,330490.9
z_znorm_1d,5,0.4102,0.39499,100.0,7.98,641.51,97.8,7,7,314,201432.9
z_pct_from_52w_low,1,-0.09116,-0.08131,100.0,6.24,55.26,68.0,7,7,1570,1329.8
z_pct_from_52w_low,5,-0.18842,-0.164,100.0,6.04,273.46,81.2,7,7,314,661.1
z_sma50_slope_5d,5,-0.24734,-0.23072,100.0,5.86,340.41,86.6,7,7,314,1336.0
z_pct_from_52w_low,3,-0.15002,-0.13274,100.0,5.84,175.7,77.6,7,7,523,1261.9
z_dist_sma200_pct,5,-0.22563,-0.20719,100.0,5.78,299.9,82.5,7,7,314,1371.7
z_sma50_slope_5d,1,-0.11548,-0.10673,100.0,5.58,68.45,68.8,7,7,1570,1398.2
z_dist_sma200_pct,1,-0.10871,-0.09888,100.0,5.45,61.99,66.9,7,7,1570,1963.5
z_sma50_slope_5d,3,-0.19552,-0.17983,100.0,5.39,208.81,78.8,7,7,523,1099.1
z_dist_sma200_pct,3,-0.17862,-0.16528,100.0,5.3,190.48,75.9,7,7,523,1295.5
z_pct_from_52w_high,1,-0.09871,-0.08621,99.6,4.67,50.36,63.2,7,7,1570,1922.6
z_dist_sma50_pct,5,-0.19373,-0.18495,100.0,4.53,264.31,79.3,7,7,314,1223.0
z_pct_from_52w_high,5,-0.19958,-0.18257,100.0,4.48,235.72,79.6,7,7,314,1452.3
z_rsi_14,5,-0.1677,-0.1563,100.0,4.37,222.05,78.0,7,7,314,1378.0
z_dist_sma50_pct,3,-0.15035,-0.14483,100.0,4.35,171.35,74.8,7,7,523,1363.0
z_dist_sma50_pct,1,-0.09313,-0.08762,100.0,4.16,53.41,64.8,7,7,1570,2271.2
z_plus_di,5,-0.14332,-0.13938,100.0,4.07,187.41,75.5,7,7,314,1421.5
z_rsi_14,1,-0.0827,-0.07847,100.0,3.93,44.67,62.9,7,7,1570,2919.3
z_minus_di,5,0.15752,0.1416,100.0,3.83,209.02,76.1,7,7,314,65766.3
z_sma20_slope_5d,5,-0.14322,-0.13561,100.0,3.72,210.95,75.5,7,7,314,1265.3
z_minus_di,3,0.12134,0.11241,100.0,3.5,134.23,70.0,7,7,523,71323.2
z_roc_20,5,-0.13274,-0.12505,100.0,3.5,192.25,74.5,7,7,314,1476.4
z_plus_di,1,-0.07021,-0.06967,100.0,3.45,39.85,61.2,7,7,1570,2375.8
z_sma20_slope_5d,1,-0.06618,-0.06297,100.0,3.39,41.16,61.7,7,7,1570,1917.0
z_sma20_slope_5d,3,-0.11176,-0.10394,100.0,3.34,128.05,69.4,7,7,523,1750.8
z_roc_20,3,-0.10168,-0.09614,100.0,3.32,123.5,67.7,7,7,523,1751.3
z_minus_di,1,0.07568,0.06875,100.0,3.32,41.06,61.4,7,7,1570,67526.4
z_roc_20,1,-0.06494,-0.05964,100.0,3.14,38.59,61.1,7,7,1570,2587.2
z_dist_sma20_pct,5,-0.11869,-0.10581,99.6,2.81,159.07,68.2,7,7,314,1738.3
z_dist_sma20_pct,3,-0.08901,-0.0847,99.6,2.79,108.93,66.3,7,7,523,2112.2
z_pct_from_52w_high,3,-0.1579,-0.14527,100.0,2.68,180.15,73.0,7,7,523,1534.9
z_dist_sma20_pct,1,-0.05923,-0.05521,99.6,2.66,33.97,58.9,7,7,1570,2877.7
z_rsi_14,3,-0.12917,-0.12511,100.0,2.5,169.83,71.5,7,7,523,1344.1
z_plus_di,3,-0.10969,-0.11118,100.0,2.17,146.09,66.7,7,7,523,1555.5
z_pct_from_20d_high,3,-0.09787,-0.08759,97.8,1.7,64.22,59.8,6,7,523,7340.7
z_pct_from_20d_high,1,-0.06467,-0.05578,97.8,1.63,19.89,56.1,6,7,1570,8086.9
z_pct_from_20d_high,5,-0.12829,-0.10922,97.0,1.36,81.64,60.5,5,7,314,9214.6
